         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  707/656    0.007    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
     7042    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
       58    0.000    0.000    0.009    0.000 typing.py:1288(__or__)
        1    0.000    0.000    0.009    0.009 array.py:237(ArrowExtensionArray)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
        2    0.000    0.000    0.009    0.005 managers.py:1(<module>)
      143    0.000    0.000    0.009    0.000 _decorators.py:484(__call__)
        1    0.000    0.000    0.009    0.009 shape.py:1(<module>)
7528/7498    0.002    0.000    0.009    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.009    0.003 numeric.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _policybase.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _typing.py:1(<module>)
        2    0.000    0.000    0.009    0.004 __init__.py:326(__getattr__)
      118    0.000    0.000    0.008    0.000 inspect.py:3339(signature)
      118    0.000    0.000    0.008    0.000 inspect.py:3077(from_callable)
       10    0.000    0.000    0.008    0.001 base.py:1(<module>)
        1    0.000    0.000    0.008    0.008 algorithms.py:1(<module>)
      144    0.004    0.000    0.008    0.000 hooks.py:454(_alias_event_name)
     1480    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
 3853/101    0.003    0.000    0.008    0.000 copy.py:118(deepcopy)
4817/4690    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x76fd6cb765e0}
     1380    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
     1565    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.007    0.007 args.py:1(<module>)
    51042    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1285    0.001    0.000    0.007    0.000 __init__.py:179(sub)
